"College","County"
"Aberdeen College","Aberdeenshire"
"Adam Smith College","Fife"
"Angus College","Angus"
"Anniesland College","Glasgow"
"Ayr College","Ayrshire"
"Banff & Buchan College","Fraserburgh"
"Barony College","Dumfries and Galloway"
"Borders College","Galashiels"
"Cardonald College","Glasgow"
"Carnegie College","Dunfermline"
"City of Glasgow College","Glasgow"
"Clydebank College","Glasgow"
"Coatbridge College","Lanarkshire"
"Cumbernauld College","Glasgow"
"Dumfries & Galloway College","Dumfries and Galloway"
"Dundee College","Dundee"
"Edinburgh’s Telford College","Edinburgh"
"Elmwood College","Fife"
"Forth Valley College","Falkirk"
"Inverness College","Inverness"
"James Watt College","Ayrshire"
"Jewel & Esk College","Edinburgh"
"John Wheatley College","Glasgow"
"Kilmarnock College","Kilmarnock"
"Langside College","Glasgow"
"Lews Castle College","Isle of Lewis"
"Moray College","Moray"
"Motherwell College","Motherwell"
"Newbattle Abbey College","Midlothian"
"North Glasgow College","Glasgow"
"North Highland College","Caithness"
"Oatridge College","West Lothian"
"Orkney College","Orkney"
"Perth College","Perth"
"Reid Kerr College","Renfrewshire"
"Sabhal Mòr Ostaig","Isle of Skye"
"Shetland College","Shetland"
"South Lanarkshire College","Lanarkshire"
"Stevenson College Edinburgh","Edinburgh"
"Stow College","Glasgow"
"West Lothian College","West Lothian"
